candidate,epoch,kind,split,rows,log_mae,price_per_m2_mape,abs_pct_error_p50,abs_pct_error_p80,abs_pct_error_p90,abs_pct_error_p95,abs_pct_error_p99,error_gt_10pct_rate,error_gt_20pct_rate,error_gt_30pct_rate,error_gt_50pct_rate
e30_huber_010,30,huber,test,442008,0.06329290958006067,0.06351289972959824,0.041557124355391786,0.0945822962661662,0.14052675113786098,0.19310429521282627,0.35081315359771387,0.18334057302130277,0.0460285786682594,0.015619626794085175,0.003651517619590596
e30_huber_010,30,huber,recent_holdout,209468,0.06658473599195444,0.06719193319894215,0.043760982573901056,0.09952411552116336,0.1472190931701275,0.20216419648590173,0.3683355103629361,0.19860790192296676,0.05121546011801325,0.017859529856589073,0.004334790994328489
e30_huber_015,30,huber,valid,384432,0.0638913150682389,0.06443774625987364,0.042938678814670894,0.09621163690908294,0.14102723776339707,0.191688488889313,0.3458418288381118,0.1880462604569859,0.045058683980521916,0.014933720397885712,0.003527281807966038
e30_huber_015,30,huber,test,442008,0.06312707174782986,0.06332808995242885,0.041759794379429685,0.09436059025213225,0.1394772117819722,0.1911834578439563,0.3473683331007583,0.1823700023528986,0.044861178983185826,0.01508117500135744,0.0035383974950679627
e30_huber_015,30,huber,recent_holdout,209468,0.0664235713054339,0.06699210065995179,0.04411736654559278,0.09912519815140337,0.14644914667693656,0.20011718347306337,0.36420915484623845,0.19727595623197816,0.050060152386044644,0.01725800599614261,0.004201119025340386
e30_huber_005_blend_w25,30,static_blend,valid,384432,0.06438484852938722,0.06467613105263713,0.04333277438147313,0.09658438092210568,0.14121835873149388,0.1914487452221267,0.34197128957622924,0.18899311191576143,0.04490260956424023,0.014660590169392767,0.0032515503392017316
e30_huber_005_blend_w25,30,static_blend,test,442008,0.06428425795678365,0.06418427563767336,0.04264517299418722,0.09549663488691315,0.14124140715343048,0.19290356225327193,0.3462470703667124,0.18584731498072432,0.04575030316193372,0.01518977032089917,0.003361930100812655
e30_huber_005_blend_w25,30,static_blend,recent_holdout,209468,0.06761064854089474,0.06774100356211539,0.04486698435515957,0.10062981130082314,0.1482108845359608,0.2014307041261897,0.3640246264401988,0.20191628315542232,0.050886054194435426,0.017644699906429622,0.003919453090686883
e30_huber_005_blend_w50,30,static_blend,valid,384432,0.06414854740019456,0.06449446537166006,0.0430759577081536,0.09641815029993503,0.1411096088324873,0.19165466614795237,0.34386019700808057,0.18862893827777083,0.045024867856994215,0.014756836059433138,0.0033660049111416323
e30_huber_005_blend_w50,30,static_blend,test,442008,0.06381470756292426,0.06378442939856,0.04219030261216794,0.09510009046790165,0.14072495980631716,0.1926419473223402,0.3462002387547393,0.18456905757361858,0.04557157336518796,0.015187507918408717,0.003441114187978498
e30_huber_005_blend_w50,30,static_blend,recent_holdout,209468,0.06713529681750824,0.06741161480860966,0.04442964203946562,0.09999717789465612,0.147695055136012,0.2012768636029977,0.3630910873305115,0.19999713560066454,0.05077625221990949,0.01738690396623828,0.0040006110718582314
e30_huber_005_blend_w75,30,static_blend,valid,384432,0.06411618024002796,0.06454541496522327,0.04294716576098909,0.0964840857849983,0.1415163414784146,0.19221199984441445,0.3463936176404052,0.18872778540808258,0.04524337203978857,0.01497013776168477,0.003480459483081533
e30_huber_005_blend_w75,30,static_blend,test,442008,0.06355628541176137,0.06362804102721001,0.04191349094961472,0.09496095092047867,0.1406933832039446,0.19264563671337626,0.34838773553132596,0.18413467629545166,0.0457706647843478,0.015253117590631844,0.003529347885106152
e30_huber_005_blend_w75,30,static_blend,recent_holdout,209468,0.06686975294045815,0.06729551820922373,0.04419290867863435,0.09979465068267808,0.14743326433512197,0.20157146521304173,0.36420037848889814,0.19941948173468024,0.050943342181144616,0.01757786392193557,0.004134283040846335
