experiment_name,split,group_type,group_value,rows,log_mae,p95_abs_pct_error,p99_abs_pct_error,error_gt_20pct_rate
F18_reference_huber_010,valid,exact_prev_jump_20_group,0,352916,0.05936495732400047,0.17572518395968445,0.3257945278378037,0.03637976175633862
F18_reference_huber_010,valid,exact_prev_jump_20_group,1,31516,0.11557229878894598,0.29122889778186545,0.4635440539266097,0.14840081228582308
F18_reference_huber_010,valid,exact_wide_gap_10_group,0,375845,0.06284069231915297,0.18832871058447487,0.3405173860795788,0.043086910827601806
F18_reference_huber_010,valid,exact_wide_gap_10_group,1,8587,0.11352740688218471,0.3094967598445877,0.5072705772601495,0.15395365086759055
F18_reference_huber_010,valid,region_prior_missing_group,0,384432,0.06397287386999355,0.1924799645363195,0.34748095206577667,0.04556332459316602
F18_reference_huber_010,valid,wide_region_outlier_20_group,0,142995,0.062057722791133425,0.1753205518929345,0.35211351577379824,0.03635791461239903
F18_reference_huber_010,valid,wide_region_outlier_20_group,1,241437,0.06510715332393646,0.20149458965056413,0.34569903660213175,0.05101537875304945
F18_reference_huber_010,test,exact_prev1_missing_group,0,440056,0.06114590834364118,0.18823987436886608,0.32498639277549607,0.04301952478775429
F18_reference_huber_010,test,exact_prev1_missing_group,1,1952,0.5308239615367013,0.9144436211293508,2.6525939073212217,0.6501024590163934
F18_reference_huber_010,test,wide_prev1_present_exact_missing_group,0,441315,0.06305778203053025,0.19191027811431421,0.3464250151626126,0.045305507404008474
F18_reference_huber_010,test,wide_prev1_present_exact_missing_group,1,693,0.16659038699212853,0.46891579627500823,0.7562761256696434,0.2972582972582973
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,1-30,297688,0.054091428906152726,0.1638931692605831,0.2717982538380022,0.028765015721157722
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,181-365,16289,0.08697373210871268,0.25400641555228987,0.4217226334096563,0.09435815581066978
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,31-90,82193,0.06355263726395857,0.19149722672500755,0.3184886241921966,0.04439550813329602
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,366-730,7345,0.11108336813660027,0.32667795412457984,0.5420689868257372,0.16242341729067392
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,731+,7168,0.16117787095915195,0.443543004629032,0.7508916082515472,0.29129464285714285
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,91-180,29373,0.07468515980324367,0.22067538509211498,0.36847659388680365,0.06471930003744936
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,missing_or_negative,1952,0.5308239615367013,0.9144436211293508,2.6525939073212217,0.6501024590163934
F18_reference_huber_010,test,prev1_gap_bucket_plus,1-30,307053,0.05472646904031324,0.16579642391749205,0.27534380678153636,0.029812442803034005
F18_reference_huber_010,test,prev1_gap_bucket_plus,181-365,14560,0.08933676422525982,0.2638161952264586,0.4329697970319268,0.10082417582417583
