experiment_name,split,group_type,group_value,rows,log_mae,p95_abs_pct_error,p99_abs_pct_error,error_gt_20pct_rate
F18_reference_huber_010,valid,wide_region_outlier_20_group,0,142995,0.06236912326846672,0.1772909118690125,0.35786164583669344,0.037253050805972236
F18_reference_huber_010,valid,wide_region_outlier_20_group,1,241437,0.06536262434225029,0.20275612815709793,0.349137935711107,0.05175263112116204
F18_reference_huber_010,test,exact_prev1_missing_group,0,440056,0.061221292037207505,0.18893029588965235,0.32675969074555583,0.043344483429381714
F18_reference_huber_010,test,exact_prev1_missing_group,1,1952,0.5334540409146252,0.9153169124614283,2.6208479805941276,0.6582991803278688
F18_reference_huber_010,test,wide_prev1_present_exact_missing_group,0,441315,0.06314776203459026,0.19260697935634927,0.34911146359600104,0.045654464498147584
F18_reference_huber_010,test,wide_prev1_present_exact_missing_group,1,693,0.16456648527493872,0.4658347415241921,0.7462635030230945,0.30447330447330445
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,1-30,297688,0.05428403472073977,0.16401178476159695,0.27339457557920127,0.029000161242643305
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,181-365,16289,0.08674847558660902,0.25803563097854954,0.43310007309281817,0.0960771072502916
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,31-90,82193,0.06357245280866797,0.1922842575117341,0.32072227575404194,0.04497949947075785
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,366-730,7345,0.11115263663088587,0.331375685802237,0.5669682861971711,0.16569094622191968
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,731+,7168,0.15846277396945993,0.45353990148873047,0.7914364262046991,0.287109375
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,91-180,29373,0.0745772426506566,0.22276397075626558,0.37447323085855744,0.06482143465086984
F18_reference_huber_010,test,exact_prev1_gap_bucket_plus,missing_or_negative,1952,0.5334540409146252,0.9153169124614283,2.6208479805941276,0.6582991803278688
F18_reference_huber_010,test,prev1_gap_bucket_plus,1-30,307053,0.054917994731568956,0.16613509165175291,0.2775160732054617,0.030053443542320056
F18_reference_huber_010,test,prev1_gap_bucket_plus,181-365,14560,0.08897833417400511,0.2652418421132907,0.4448565087311192,0.10212912087912088
F18_reference_huber_010,test,prev1_gap_bucket_plus,31-90,80451,0.06436696334565867,0.19567655049038296,0.32793457678461124,0.04730829946178419
F18_reference_huber_010,test,prev1_gap_bucket_plus,366-730,6115,0.11668297579429958,0.3443237497427092,0.5925455557928195,0.17972199509403108
F18_reference_huber_010,test,prev1_gap_bucket_plus,731+,5072,0.1844295130034209,0.4932743339001512,0.8599802300673071,0.3566640378548896
F18_reference_huber_010,test,prev1_gap_bucket_plus,91-180,27498,0.07525101556760061,0.22510369862758092,0.37667459619131316,0.06749581787766383
F18_reference_huber_010,test,prev1_gap_bucket_plus,missing_or_negative,1259,0.7365033467591866,1.2386300534515677,3.5688967591214285,0.8530579825258141
F18_reference_huber_010,test,prev2_gap_bucket_plus,1-30,210613,0.05287527828701606,0.15977872327247966,0.2682885507071014,0.026907170972352134
F18_reference_huber_010,test,prev2_gap_bucket_plus,181-365,29619,0.07539736753066967,0.22844718629998773,0.3937603009135361,0.06900975725041358
F18_reference_huber_010,test,prev2_gap_bucket_plus,31-90,123464,0.059118228650723054,0.17877871349912972,0.29478453281458084,0.03653696624117152
F18_reference_huber_010,test,prev2_gap_bucket_plus,366-730,12953,0.0932583806178943,0.2816807641620969,0.4887893190763008,0.11557168223577549
F18_reference_huber_010,test,prev2_gap_bucket_plus,731+,10986,0.14122095579886462,0.4137688015330253,0.7299982284955464,0.24167121791370835
F18_reference_huber_010,test,prev2_gap_bucket_plus,91-180,51663,0.06631044010946675,0.19951183120180194,0.32519888033663624,0.04968739717012175
F18_reference_huber_010,test,prev2_gap_bucket_plus,missing_or_negative,2710,0.4164151615418258,0.8534827797176795,2.1264576622749636,0.5232472324723247
F18_reference_huber_010,test,wide_prev_jump_20_group,0,407525,0.05803912625519026,0.17171843093870806,0.3234729959951507,0.034758603766640084
F18_reference_huber_010,test,wide_prev_jump_20_group,1,34483,0.1255605443100752,0.31227148226448037,0.49893797265544587,0.17962474262680161
F18_reference_huber_010,test,exact_prev_jump_20_group,0,407642,0.05828927215886008,0.17299657386923603,0.3260571448146511,0.03547966107515908
F18_reference_huber_010,test,exact_prev_jump_20_group,1,34366,0.12282324667429108,0.3069076922477209,0.49833504367060416,0.17156491881510796
F18_reference_huber_010,test,exact_wide_gap_10_group,0,432309,0.062101604990953366,0.18857769577350356,0.343047397229536,0.043445776053702326
F18_reference_huber_010,test,exact_wide_gap_10_group,1,9699,0.11702406686840722,0.32120409332089334,0.5380952932217034,0.1625940818641097
F18_reference_huber_010,test,region_prior_missing_group,0,442008,0.06330677086521223,0.19326149171602935,0.3509731141342762,0.046060252303125736
F18_reference_huber_010,test,wide_region_outlier_20_group,0,156288,0.06054562062759122,0.17169001002797843,0.3537888502493022,0.03485872235872236
